Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,21,51,-612431996,60,,
3,146,65,-300866,60,,
4,24,41,-116245,51,,
5,29,48,-93639,60,,
6,8,43,-97368,60,,
7,110,55,-263303,51,,
8,37,56,-113360,60,,
9,77,55,-221624,60,,
10,6,40,-398,51,,
11,59,50,-231651,60,,
12,65,53,-191059,60,,
13,74,47,-252632,51,,
14,67,46,-372971,60,,
15,42,55,-135927,60,,
16,28,41,-89618,52,,
17,140,57,-278712,60,,
18,96,58,-225538,60,,
19,82,48,-243901,51,,
20,64,45,-305837,60,,
21,109,60,-285809,60,,
22,112,58,-241004,51,,
23,47,53,-160349,60,,
24,111,65,1962688090,60,,
25,137,57,-262865,51,,
26,89,54,-274545,60,,
27,9,44,7861,60,,
28,74,48,-233464,52,,
29,69,56,-185188,60,,
30,112,54,-336676,60,,
31,64,52,-163825,51,,
32,53,45,-245127,60,,
33,31,47,-108500,60,,
34,78,48,-226516,51,,
35,148,63,-276824,60,,
36,133,62,-327854,60,,
37,9,36,-13082,51,,
38,44,52,-149640,60,,
39,88,48,-322503,60,,
40,49,46,-133025,52,,
41,96,57,-257567,60,,
42,32,43,-254272,60,,
43,90,52,-218104,51,,
44,18,51,-80842,60,,
45,58,62,-131296,60,,
46,41,47,-117496,51,,
47,40,48,-82542,60,,
48,173,66,-333236,60,,
49,21,45,-34478,51,,
50,47,48,-168674,60,,
51,66,48,-294274,60,,
52,44,45,-145839,51,,
53,103,56,-336474,60,,
54,64,58,-198613,60,,
55,21,40,-57380,52,,
56,-5,44,-15571,60,,
57,30,49,-67736,60,,
58,102,53,-219208,51,,
59,112,65,-281968,60,,
60,88,53,-297953,60,,
61,85,59,-137015,51,,
62,47,46,-193387,60,,
63,78,53,-239260,60,,
64,69,47,-235579,51,,
65,71,55,-231669,60,,
66,118,59,-334692,60,,
67,32,44,-92565,52,,
68,49,48,-202285,60,,
69,101,59,-256174,60,,
70,107,54,-262981,51,,
71,101,61,-244073,60,,
72,61,53,-177381,60,,
73,21,40,-24053,51,,
74,1,38,7997,60,,
75,97,56,-243382,60,,
76,78,52,-228789,51,,
77,74,51,-274539,60,,
78,87,61,-215762,60,,
79,83,49,-181178,52,,
80,64,52,-206620,60,,
81,155,68,-336823,60,,
82,111,56,-226461,51,,
83,87,57,-248825,60,,
84,97,57,-296016,60,,
85,43,46,-89400,51,,
86,47,47,-193957,60,,
87,98,64,-207617,60,,
88,96,47,-247360,51,,
89,33,55,-110574,60,,
90,102,58,-276632,60,,
